Algoritmo,n,Keygen_us,Keygen_ciclos,Sign_us,Sign_ciclos,Verify_us,Verify_ciclos
ML-DSA-87,1024,3034,8786420,908,2628967,215,624429
ML-DSA-87,1024,302,874205,520,1506811,216,624834
ML-DSA-87,1024,302,873538,1508,4367458,217,628140
ML-DSA-87,1024,306,886240,1376,3982860,216,625501
ML-DSA-87,1024,298,864983,621,1798000,216,624805
ML-DSA-87,1024,302,874582,1136,3288165,217,626429
ML-DSA-87,1024,304,880991,554,1605382,220,636521
ML-DSA-87,1024,347,1004850,413,1195583,216,626110
ML-DSA-87,1024,300,870812,987,2857312,217,629532
ML-DSA-87,1024,296,855529,519,1501707,217,629243
ML-DSA-87,1024,296,856689,414,1199179,217,629561
ML-DSA-87,1024,296,858023,645,1864845,217,630459
ML-DSA-87,1024,306,887864,411,1188101,216,625966
ML-DSA-87,1024,301,871160,539,1560897,216,625153
ML-DSA-87,1024,388,1126012,583,1688264,220,635941
ML-DSA-87,1024,326,945052,425,1230615,223,645018
ML-DSA-87,1024,329,951664,739,2140084,217,626748
ML-DSA-87,1024,320,925854,517,1496023,229,664303
ML-DSA-87,1024,313,904685,807,2337371,216,626458
ML-DSA-87,1024,309,895086,1515,4387004,218,631765
ML-DSA-87,1024,334,965352,413,1195177,217,630402
ML-DSA-87,1024,304,879019,651,1885406,222,641479
ML-DSA-87,1024,317,915676,551,1594855,216,626661
ML-DSA-87,1024,307,891808,1434,4153351,217,625675
ML-DSA-87,1024,299,863678,2075,6007582,224,647338
ML-DSA-87,1024,320,927304,548,1587460,218,630954
ML-DSA-87,1024,295,853354,649,1879896,219,632113
ML-DSA-87,1024,325,941079,415,1199121,217,630372
ML-DSA-87,1024,300,869043,414,1200136,217,626980
ML-DSA-87,1024,299,866056,413,1196772,217,626718
ML-DSA-87,1024,300,870029,412,1192713,217,626168
ML-DSA-87,1024,305,881629,752,2178132,217,628053
ML-DSA-87,1024,295,856254,518,1498372,220,637013
ML-DSA-87,1024,296,854978,754,2183091,216,626197
ML-DSA-87,1024,304,880266,1041,3013709,220,637420
ML-DSA-87,1024,296,856689,517,1495791,220,637652
ML-DSA-87,1024,297,858719,410,1187000,220,637391
ML-DSA-87,1024,295,854282,580,1676635,219,635361
ML-DSA-87,1024,317,916516,538,1557706,217,629444
ML-DSA-87,1024,301,870783,990,2867230,221,637797
ML-DSA-87,1024,302,873741,816,2362195,217,627560
ML-DSA-87,1024,311,902451,647,1872443,220,637044
ML-DSA-87,1024,308,891460,839,2429504,217,626574
ML-DSA-87,1024,310,896419,675,1954165,216,626980
ML-DSA-87,1024,303,877395,410,1185897,221,638174
ML-DSA-87,1024,302,875017,749,2169316,220,636753
ML-DSA-87,1024,311,901813,413,1195496,220,636868
ML-DSA-87,1024,299,864490,859,2488954,237,684023
ML-DSA-87,1024,330,956043,741,2145130,216,625849
ML-DSA-87,1024,311,900566,426,1231891,216,625008
ML-DSA-87,1024,304,880702,543,1573134,216,625008
ML-DSA-87,1024,305,884820,751,2174478,219,633853
ML-DSA-87,1024,298,863127,1068,3091864,216,626139
ML-DSA-87,1024,299,868144,412,1191987,217,626371
ML-DSA-87,1024,299,866491,411,1189348,216,626458
ML-DSA-87,1024,299,865128,670,1940100,219,632926
ML-DSA-87,1024,297,860024,407,1177197,219,634462
ML-DSA-87,1024,298,863098,1007,2916356,218,630141
ML-DSA-87,1024,299,864838,412,1191639,226,655922
ML-DSA-87,1024,303,877888,1038,3006690,220,636463
ML-DSA-87,1024,294,850889,1221,3534810,218,630112
ML-DSA-87,1024,298,861706,542,1570640,220,637013
ML-DSA-87,1024,303,877019,792,2292972,216,625240
ML-DSA-87,1024,306,886501,1666,4820554,218,630518
ML-DSA-87,1024,302,874698,804,2328062,219,636202
ML-DSA-87,1024,294,852948,412,1190537,220,636289
ML-DSA-87,1024,297,858661,411,1190769,220,636376
ML-DSA-87,1024,297,859097,1221,3535825,217,625907
ML-DSA-87,1024,298,862257,753,2180539,216,625472
ML-DSA-87,1024,297,861445,517,1498923,216,625646
ML-DSA-87,1024,299,866752,541,1565218,216,625560
ML-DSA-87,1024,298,863852,411,1190885,216,625211
